uuid,name,description,region,symptoms,crude_drags,prescriptions,treatment,references
df99a2c799d843e28ac5c33a6ea6db6b,風寒襲表,"風寒の邪が体表部を侵製して衛気と相争する病態であり,「表寒」あるいは「風寒表証」と称する.寒気・ふるえ・鳥肌・頭痛・関節や腰の痛みなど,寒冷にさらされたときのような反応が現れる.感冒・インフルエンザ・他の炎症の初期によくみられ,昔か「卵酒を飲んで汗をかくと治る」といわれている病態である.",全身,,,,,"森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
cb248d883f8948b091c98ed7052212df,表実証,"風寒の邪のうち風邪より寒邪のほうが強く,凍結の性質を持つ寒邪により,体表が閉塞され気圧の流れが凝滞する病態である.寒冷反射が強く生じ,汗腺が閉じ鳥肌が立ってふるえ,悪寒あるいは悪風があって汗が出ない状態である.汗が出ないところから「表実」と呼ぶ",全身,悪寒あるいは悪風・汗が出ない・軽度の発熱・頭痛・節々の痛み・首筋や肩背のこり痛み・咳・鼻水・ 脈が浮で緊（非常に緊張が強い）,麻黄・桂枝・紫蘇・生姜,麻黄湯・桂麻各半湯,"体表を温めて汗腺を聞き,汗とともに風寒の邪を発散して除く,（辛温発汗）を用いる","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
403386f1f95d447f96de8df1ea0d534e,表虚証,"風寒の邪のうち寒邪より風邪のほうが強く,発地の性質をもっ風邪により体表が緩んで汗孔を開く病態である.寒冷反射が強くは発生せず,悪風があり少し汗が出る状態である.汗が漏れているところから桜島と呼ぶ.",全身,悪風・じっとり汗が出る・軽度の発熱・頭痛・節々の痛み・首筋や肩背のこり痛み・鼻水・乾恒・脈が浮で緩(緊張が弱くやや遅い)などがみられる.,桂枝・生萎など.,桂枝湯・桂枝加葛根湯,"体表部を温めて汗腺機能を調整し,軽く発散させることにより風寒の邪を除く,〈辛温解肌〉を行う.","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
988bf63227784a20af05b3455570fbd1,風寒襲表兼証,"単純な風寒襲表ではなく他の病変を伴っており,治療上も別の配慮が必要な病態である.一般にはこの病態のほうが多い.",全身,,,,,"森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
bdcb31250cac40c2a657de8cd87c5f49,風寒襲表兼熱鬱,"内熱のあるものが風寒襲表を受け,凍結の性質をもっ寒邪が体表を閉塞することにより体表から熱を放散することができなくなり,体内に熱がこもった病態である.元来,元気で熱量産生の高い暑がりの体質のものが,かぜ,をひいた状態に相当する.",全身,"悪寒あるいは悪風があって汗が出ず,さらに発熱・咽の渇き・体内の熱感・いらいら・じっとしていられない・舌質が紅・脈が浮で速い","辛温発汗の麻黄・桂枝・杏仁,青熱除煩の石膏・知母",大青竜湯,"体表を温めて汗腺を聞き,汗とともに風寒の邪を発散して除くと同時に,体内の熱を冷ましていらいらを静める,〈辛温発汗・清熱除煩〉を用いる.","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
f13c7e527c784de698fe15bb66314592,風寒襲表兼陽虚,"先天的虚弱・老化・慢性病などで陽気が不足したものが,風寒襲表を呈する病態である.老人・虚弱者に多く,抵抗力が弱く熱産生能力も衰えているために,強い冷えと虚弱症状が現れる.",全身,"悪寒・軽度の発熱・四肢の冷え・縮こまる・汗が出ないなどとともに,うとうとする・眠りたがる・横になっていたい・舌質が胖大・舌苔が白・脈が沈といった陽虚の症状がみられる.","辛温発散の麻黄・桂枝・防風・細辛,助陽益気の附子・乾姜・人参・黄耆など",麻黄附子細辛湯・再造散,"体を温め体力と抵抗力を高めたうえで,発散により風寒の邪を除く,〈助陽益気・辛温解表〉を行う.","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
0e13a3864a43489b8642ba1c6611f58d,風寒襲表兼陰血虚損,"大出血・出産の後あるいは大病後で体液や栄養状態が不足した陰血虚損のものが,風寒の邪の侵襲を受けた病態である.汗の原料が不足しているために汗が出ず,無理に汗を出させると陰血がさらに不足することになり,危険である.",全身,"悪寒あるいは悪風・汗が出ない・発熱・頭痛・節々の痛みなどとともに,皮膚の乾燥・るい痩・顔色が悪い・口唇の乾燥・舌質が淡泊・舌苔が少ない・脈が浮細など陰血不足の症状を伴う.","軽度に発散する葱白・淡立鼓,滋陰養血の生地黄・麦門冬など",葱白七味飲,"体を栄養滋潤して汗の原料を提供し,少し汗ばませることにより風寒の邪を発散して除く, 〈滋陰養血・辛温発汗〉を行う.","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
1bfd3fd934814a91bf3a39a1aff9de04,風寒湿襲表,"湿度が高くかつ寒冷の気候のために,あるいは普段からむくみの傾向をもつ内湿の体質のものが風寒の邪を受けることにより,風寒の邪と湿邪が合併して侵襲した病態である.皮下や筋肉内に水分の停滞があって,気血の流れや筋肉の動きを悪くするので,重だるさや強い痛みを伴うのが特徴である.",全身,頭が重い・しめつけられるような強い頭痛・体が重だるい・節々の痛み・体を動かしにくい・悪寒あるいは悪風・軽度の発熱・胸苦しい・むくみ・白賦苔・脈が浮などがみられる.,辛温発汗で祛湿にも働く藿香・防風・羗活・自芷・細辛・蒼朮 など,九味羗活湯・荊防敗毒散・藿香正気散,"温めて風寒の邪を除くとともに,皮下や筋肉内の水分を除く,〈辛温発汗・融湿〉を行う","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
ac5b50a9ab99463391fe8cc85c79726e,陰暑,"夏期に風寒湿の邪を受け,風寒湿の邪による体表の閉塞と体内の暑熱の両面を呈する病態である.暑熱の時期に陰寒の症状を呈することから,「陰暑」と呼ばれ,暑熱と寒湿が共存しているところが特徴である.暑中に冷えて発病する「夏かぜ」の一種に相当し,クーラーをかけすぎる・裸で戸外に寝る・水遊びをしすぎる・納涼のしすぎ・冷たいもののとりすぎ・汗や雨に濡れたままで過ごすなどで発生する.",全身,"寒気・腹痛・汗が出ない・体が重だるい・舌苔が白賦などの体表部の寒湿の症状と,咽の渇き・発熱・体内の熱感・いらいら・尿が濃く少ないなどの体内の暑熱の症状がみられる.","散寒解表の香薷,祛暑の金銀花・連翹・白扁豆",香薷飲・新加香薷飲,"体表部の寒湿を除き,体内の暑熱を冷ます,〈祛暑解表・化湿〉を行う.","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
832ca0e2dee24146a4d13b275acdfb3b,風寒侵入少陽,"風寒襲表に引き続いて邪が少陽に侵入したり,風寒の邪が直接少陽に侵入し,邪正相争する病態で,邪が胆・三焦で気・津液の通行を阻滞し化熱するので,多彩な症状を伴う.暑熱の時期を除き年中発症するが,主に晩秋から冬季ににみられ,感冒・扁桃炎・インフルエンザなど多くの感染症に相当する",全身,"1日に何回も不定期に往来寒熱が現れ,発熱はずっと続き熱感があるときに体温はより上昇し,胸脇部が張って苦しい・食欲がない・吐き気・めまい感・口が苦い・咽の乾燥感・因痛・腹痛 尿が少ない・舌苔がやや黄・脈が弦などがみられる",柴胡・黄芩・半夏,小柴胡湯,"風寒の邪を外透し,気・津液を疏通させ炎症を静める,〈和解少陽〉を行う","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
0993e9641fd341cea8a067ac7035e1b9,熱結心下,"病邪が化熱して,半表半裏から心下(裏である胃腸との境界)まで深く入って気機を阻滞した病態である.インフルエンザ・胃腸炎などでみられる.",全身,"往来寒熱・胸脇部が張って苦しいなどとともに,嘔吐・みぞおちのつかえや脹り・いらいら・腹痛・便秘あるいは下痢・舌苔が黄・脈が弦で速いなどがみられる","和解少陽の柴胡・黄苓・半夏,瀉下の枳実・大黄など.",大柴胡湯,"風寒の邪を外透して気・津液を疏通させ,炎症を静めると同時に瀉下によって心下の熱結を解消させる.〈和解少陽・泄下熱結〉を行う","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
b953277eccdb462aaa5f3337a2705495,湿熱欝阻少陽,"夏から初秋にかけての高い湿度と暑熱の時期に,湿熱の邪が少陽に侵入して気・津液の流通を鬱阻した病態である.「夏かぜ」の一類型であるが,ウイルス性肝炎など多くの感染症が含まれる.炎症・水分停滞・機能障害などを引き起こしており,粘滞して除去しにくい湿邪が関与しているために,なかなか治癒しないのが特徴である.",全身,"寒気と熱感・発熱が起伏しながら持続し,汗が出ても解熱せず,吐き気・嘔吐・腹痛・っかえ・体が重だるい・尿が少ない・舌苔が黄賦・脈が弦でやや速いなどを伴う.",青蒿・黄芩・黄連・竹茹・枳実・滑石・茯苓など.,蒿芩清胆湯,"熱の邪を除き少陽の気・津液を疏通させる,〈情熱利湿・通達少陽〉を行う.","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
0fa1ae4f63fb41c4a538ce5311708da1,風熱犯衛,"風熱の邪が侵入して衛気と相争する病態であり,「表熱」と称する.陽気が盛んな子どもや体力のある青・壮年のかぜ・扁桃炎・インフルエンザなどはほとんどがこの病変であり,麻疹や化膿症の初期にも同様の病態がみられる.初期から炎症症状が明らかな感染症に相当する.",全身,"軽い寒気や体の違和感に引き続き,すぐに発熱・熱感が生じ熱がかなり高く,咽痛・扁桃の発赤腫脹・顔や目が赤い・頭痛・脈が浮で速い",辛涼透表の薄荷・桑葉・菊花・牛蒡子・金銀花・連翹など.,銀翹散・清上防風湯,"体表を聞いて熱を放散させ炎症を静め,風熱の邪を発散して除く,〈辛涼透表〉を行う.","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
3fb0969f1a6c417e831e3ac4bc333965,風熱犯衛兼証,"単純な風熱犯衛ではなく,他の病変を伴っており,治療上も別の配慮を必要とする.",全身,,,,,"森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
a73a2b20776541b0bf8bb34c90dd1360,風線犯衛兼裏実,"裏実のものが風熱の侵襲を受けた病態で,表裏ともに熱証が現れる.表熱に体内の欝熱を兼ねた状態に相当し,元来暑がり・猫舌・汗かき・咽の渇き・便秘といった内熱(裏熱)の傾向をもつものが,寵患する.",全身,"発熱・熱感・咽痛・咳などの表熱と,咽の渇き・いらいら・尿が濃い・便秘・舌苔が黄厚・舌質が紅・脈が有力で速いなどの裏実熱の症候がみられる","辛涼透表の薄荷・桑葉・菊花・牛蒡子・金銀花・連翹,清熱の黄芩・山梔子・瀉下の大黄.芒硝など.",防風通聖散,"炎症を静め体表から熱を放散すると同時に,瀉下により便とともに熱を下地させる,〈辛涼透表・瀉熱通便〉を行う.","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
cd70f4f81bf84f219d6e131d00cbbd64,風熱犯衛兼陸虚,"慢性病・多産・過度の性生活・老化などで陰液が不足したものが,風熱の侵襲を受けた病態である.栄養や体液が不足したものの風熱犯衛に相当し,体液が少ないので汗を産生して熱を放散することができず,栄養状態が悪いために速やかな病状悪化が懸念される.",全身,"発熱・熱感・咽痛などに,皮膚や口唇の乾燥・口の乾燥・汗が出ない・舌質が絳紅・舌苔が少ない・脈が浮で速く力がないなどを伴う.","軽く発散する淡豆鼓・葱白・薄荷,滋陰の玉竹・生地黄",加減葳蕤湯,"体液を補充し汗の原料を提供したうえ,体表を聞いて汗とともに熱を放散する, 〈滋陰・辛掠透表〉を行う.","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
f11f8f81bbad483da7b44f85ec367c82,熱邪壅盛,"熱邪の勢いが盛んになって臓腑に深く侵入した病態であり,風熱犯衛から速やかに移行したり,風寒襲表から寒邪が化熱することにより一定期間の経過の後に移行する.多くは暑熱の時期に現れ,高熱・熱感を呈して炎症が強い状態である.",全身,,,,,"森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
fcc29ad1d375487ca49852ce84d70ea5,肺熱壅盛,邪熱が肺に侵入して宣発・粛降を阻害した病態である.肺・気管支の炎症に相当する.,全身,"高熱・熱感とともに,咳込む・呼吸が荒い・甚だしいと端息や呼吸困難・黄色く粘稠な痰・胸痛・咽の渇き・舌質が紅・舌苔が黄・脈が速く有力","清肺熱の石膏・黄芩・山梔子,平喘止咳の杏仁・桑白皮・貝母・竹筎など.",麻杏甘石湯・五虎湯,"炎症を除き咳・呼吸困難を解消する,〈清肺平端・止咳〉を行う.","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
782baa9402324992bdeed03c12451e14,気分熱盛,"熱邪が気分(機能系)で盛んになった病態である.全身的な炎症で,機能が障害されているだけで器質的損傷はみられない状態に相当する.高熱・発汗により体液や気力が消耗するので,不可避的に気津の損傷を伴う.",全身,"高熱とともに悪熱があり,布団をはねのけたり裸になりたがり,じっとしていられずに輾転反側(何度も寝がえりをうつ)し,汗が出る・咽が渇いて冷たい飲みものを欲しがる・顔面紅潮・舌質が紅・舌苔が黄・脈が洪大(大きく有力)などがみられる.「大熱・大汗・大渇・脈洪大」の四大症状が特徴である.体液・気力が衰えた気津両傷の状態では,咽の渇きが強い・息切れ・元気がない・舌が紅で乾燥・脈は大きいが力がないなどの症状がみられる.",清熱の石膏・知母など,白虎湯,"炎症を抑え熱を外部に透発させて除く,〈清気泄熱〉を行う.","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
4b6f83a523e64ba3889887a78cda8f2f,暑熱傷気,夏に暑熱の邪が侵襲して気津を消耗する病態である.暑熱炎天による「夏かぜ」「夏バテ」 に相当する.,全身,発熱・熱感・汗が多い・咽の渇き・尿が濃く少ない・全身倦怠・息切れ・舌質が紅で乾燥・脈に力がないなどがみられる.,"清熱解暑の西瓜皮・荷葉・滑石・青蒿,益気生津の西洋参・石餅・沙参・人参・麦門冬など.",清暑益気湯,"暑熱を除き元気をつけ体液を補充する,〈清熱解暑・益気生津〉を行う.","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
f82415f0a83249ff99c5796c84ae9c7e,湿熱停滞,"暑くて湿度の高い夏から初秋にかけて湿熱の邪の侵襲を受けた病態であり,普段からむくみなど内湿の傾向をもつものが罹患する.内湿と外湿が同気相求めるためである.「夏かぜ」の一種であり,ウイルス感染症などに相当する.",全身,,,,,"森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
e1cd272674cc43739adcee015c37bbc4,湿熱初犯,"発病の初期に相当し,軽い寒気と体内の熱感を呈する状態であり,内湿があるために消化器症状を伴い,湿邪が気血の流れや筋肉の動きを阻滞する症状もみられる.発熱には特徴があり,体内では強い熱感がありながら,体表部に触れても熱を感じなかったり,外気にあたると寒気を感じ,わきの下に体温計を入れても体温上昇を示さないが,じっと触れていると熱を感じ,口中や直腸内で温度を計ると体温上昇がみられる.体表の水分(湿邪)が熱を体内に閉じこめているために起こる現象であり,これを「身熱不揚」と呼ぶ.汗が出ることもあるが,湿邪は粘りつく性質をもつので,経過がやや長く,治りにくいのが特徴である.",全身,"身熱不揚のほか,頭が重い・体が重だるい・食欲不振・吐き気・嘔吐・下痢・胸や腹がつかえて脹る・尿が少ない・賦苔などの湿証がみられる.","宣発の藿香・杏仁・白豆蔲,祛湿泄熱の竹葉・慧苡仁・滑石・通草など.",三仁湯・藿朴夏苓湯,"宣発の薬物で湿熱を透散するとともに,利尿することによって湿熱の邪を下泄させる, 〈宣散・祛湿泄熱〉を行う.","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
6e2cb9e3c1594b5fa834b4556d8edada,湿熱阻滞脾胃,"湿熱初犯から日時が経過して邪が化熱し,粘調でなかなか除去できない湿邪と牌胃において結びついているために,長期にわたり持続する病態である.炎症が強くなって発熱が起伏しながら長期にわたって持続し,汗が出ても熱が下がらず,明らかな消化器症状を伴う状態に相当する.",全身,起伏する発熱・汗が出ても解熱しない・吐き気・嘔吐・下痢・尿が濃く少ない・口は乾くが水分は欲しくない・黄膩苔・脈がやや速いなどがみられる.,"清熱化湿の黄連・黄芩・山梔子,清熱利水の茵蔯蒿・滑石・沢瀉・通草・猪苓など",連朴飲・黄芩滑石湯・茵蔯蒿湯・茵蔯五苓散,"炎症を抑えるとともに,利尿することにより湿熱の邪を下泄させる,〈清熱燥湿〉を行う.","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
c3f60b514ee04276a4a94dd7a9d64ff2,温燥,"初秋に温燥の邪が鼻や気道から肺へ侵入し,津液を消耗し宣発粛降を阻滞する病態である.暑さが残り乾燥する初秋によくみられるほか,エアコンによる温かく乾燥した環境でも発生する.咽や気管に強い乾燥と炎症を引き起こした病変に相当する.",全身,発熱・鼻や咽の乾燥・咽の渇き・咽痛・乾いた咳・切れにくい粘稠な痰・皮膚の乾燥・舌の乾燥・脈が浮で速いなどがみられる.,桑葉・杏仁・沙参・貝母など.,桑杏湯,"軽く発散して邪を外散させ,粘膜の炎症を除き滋潤させる,〈清宣涼潤〉を行う","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
240cd583e27d46fbabb549f1f30ea06a,気虚発熱,"体力が低下して熱を放散する機構がうまく作動せず,体内に熱が鬱積するために発熱する.体力が充実していない学童期・過労・病後の回復期などで,気が不足して体内から熱を放散することができず,鬱熱が生じる病態である.",全身,"特にかぜひきの症状を伴わずによく発熱し,精神的・肉体的に少し疲れると発熱することが多く,微熱からかなりの高熱が数日間続く.なお,普段から疲れやすい・朝起きにくい・ゴロゴロして動きたがらない・元気がない・脈が弱いなどがみられる.","益気の黄耆・人参・白朮,疏散の柴胡・升麻など.",補中益気湯,"体力・気力を補充することにより熱の放散を促す,〈益気除熱〉を行う.","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
99f1e6a31e754a28b8b4202f16f65a67,心血虚,"長期あるいは過度の心労で心血が消耗し,心血が不足するために心気も衰えて衛気が不足し,夜間睡眠中に体表を固護する力がより不足するために,心液である汗が外に漏れてねあせを引き起こす病態である.",全身,"ねあせとともに,動悸・眠りが浅い・夢をよくみる・舌質が淡・脈が細いなどがみられる.","補血養心の当帰・竜眼肉・酸棗仁,益気により生血を促す人参・黄耆・白朮,斂汗の竜骨・牡嘱・五味子など.",帰牌湯加竜骨・牡蠣・五味子,"心血を滋養して心気の衰えを防ぎ,汗が外に漏れないように収斂する,〈補血養心・斂汗〉を行う.","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
360a00149d394d79ac3ccdc84593b096,陰虚内熱,"慢性病・熱病・性生活の不節制などで陰精を消耗し,陰精が虚したために陽気が相対的に旺盛になって 熱を生 ,衛気が裏に入る夜間睡眠中には内熱がより旺盛になり,体表を固護する衛気の力の不足に乗じて内熱が外に放散されるときに津液を引き連れて外に漏らすために,ねあせが生じる病態である.肺結核が代表的な病変である",全身,"頻繁なねあせがあり,るい痩・体の熱感・手足のほてり・頬部の紅潮・夢精・月経不順・舌質が絳・舌苔が少ないあるいは無苔・脈が浮で速く力がない.","滋陰清熱の生地黄・玄参・天門冬・麦門冬・亀板・鼈甲,少量の清熱の黄芩・黄柏,固表止汗の黄者・牡蠣・竜骨など",当帰六黄湯,"陰精を滋潤して内熱を清し,衛気を補って汗が外に漏れるのを止める,〈滋青熱・固表止汗〉を行う.","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
e90dc77f8034443aa73833f86fba1ac2,表衛不固,"先天的虚弱者・老化・慢性病などで,衛気が不足して体表を固護することができず,衛気が裏に入る夜間にさらに体表の固護が不足するために,津液が漏れてねあせが生じる病態である.さらに進行すると,陽気の温める機能が衰えて陽虚の虚寒を伴う",全身,"ねあせだけでなく,日中にもよく汗をかき,元気がない・疲れやすい・かぜをひきやすく治りにくい・脈が無力などの気虚の症状がみられる.陽虚では,さらに冷え・寒がる・うとうとする・舌質が胖大・脈が沈で遅いなどを伴う","益気固表の黄耆・人参・白朮・止汗の麻黄根・牡蠣・竜骨,温陽の肉桂・附子など","益気固表には玉屏風散・牡蠣散・黄耆建中湯,温陽固表には桂枝加竜骨牡蛎湯","陽気を補って衛気を強め表を固護する,〈益気回表・温陽固表〉を行う.","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
5a0e36ed22e4416d8ae368cd2b36eeaf,湿熱擾動,"ねあせでは最もよくみられる病変である.飲食の不摂生・飲酒癖・精神的ストレスなどで,牌胃の運化が失調して水湿が生じ,長期間停滞し化熱して湿熱となり,夜間に衛気が裏に入って湿熱と相争するために邪熱が強くなり,衛気の固護の不足に乗じて邪熱が外泄すると同時に津液を外に漏らし,ねあせが発生する病態である.湿熱は体内では蒸籠を蒸し上げるょっに津液を押し上げるので,頭面部に汗が出やすい.",全身,"じっとりとしたねあせ(首から上に多い)とともに,口が粘る・体が重だるい・むくみ・吐き気・腹満・尿が濃い・舌苔が黄賦・脈がやや速いなどの湿熱の症状がみられる.","清熱利湿の菌蔯蒿・薏苡仁・山梔子・滑石,清熱燥湿の黄連・黄芩・黄柏など.",菌蔯五苓散・菌蔯蒿湯・梔子柏皮湯,熱を冷ますと同時に湿邪を発散したり尿として除く.〈清熱利湿〉を行う.,"森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
3e06b30260c2452e9b442fc380adad41,風寒犯肺・水湿内停,"風寒の邪が肺を侵襲し,宣散・粛降を阻滞する病態である寒冷の時期にみられる突発性の浮腫に相当する.",全身,"眼瞼に初発し頭面部から次第に全身に浮腫が拡大し,悪寒・発熱・頭痛・体の痛み・尿が少ない,脈が浮などを伴う.",麻黄・桂枝・防風・蒼朮・白朮など.,小青竜湯・麻黄加朮湯,"温めて汗をかかせ,体表部から外邪や水分を除き利尿する,〈疏風散寒・祛湿〉を行う","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
ea015c13ac0941cf804ff0f23bc85624,風熱犯肺・水湿内停,"風熱の邪が怖を侵犯し,宣散・粛降を阻害する病態である.アレルギー・急性腎炎など炎症性の突発性浮腫に相当し,季節を問わずにみられる.",全身,"眼瞼に初発し頭面部から全身に拡がる浮腫とともに,発熱・咽痛・咽の腫脹発赤・咳・尿が濃く少ない・血尿・舌苔がやや黄・脈が速いなどが現れる.","麻黄と石膏の組み合わせを用い,宣肺祛湿の連翹・桑白皮・薏苡仁・小豆などを配合する.",越婢加朮湯,"体表部からの熱の放散を強め,外邪を除き炎症を抑えて利尿する,〈辛涼宣肺・清熱祛湿〉を行う.","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
